,source,target,gene_A,gene_B,type_gene_A,type_gene_B,MeanLR
0,Megakaryocyte,Megakaryocyte,EFNB1,EPHB4,Ligand,Receptor,2.485
1,Fibroblast,Fibroblast,IL15,IL15RA,Ligand,Receptor,2.386
2,Neural,MSC,CDH1,KLRG1,Ligand,Receptor,2.47
3,MSC,Neural,SGPP1,CD44,Ligand,Receptor,2.407
4,MSC,MSC,OSM,IL6ST,Ligand,Receptor,2.463
5,Megakaryocyte,MSC,BDNF,NGFR,Ligand,Receptor,2.363
6,MSC,Megakaryocyte,TGM2,ITGA4,Ligand,Receptor,2.365
7,MSC,Neural,PSEN1,CD44,Ligand,Receptor,2.386
8,MSC,Neural,RARRES2,CCRL2,Ligand,Receptor,2.678
9,MSC,MSC,APP,NGFR,Ligand,Receptor,2.347
10,Neural,MSC,NPPA,NPR3,Ligand,Receptor,2.347
11,Neural,Neural,CR1,CD55,Ligand,Receptor,2.593
12,MSC,Neural,PSEN1,NCSTN,Ligand,Receptor,2.3
13,Neural,Neural,ADIPOR1,ADIPOR1,Ligand,Receptor,3.151
14,MSC,Neural,APP,NCSTN,Ligand,Receptor,2.264
15,Megakaryocyte,MSC,PSAP,SORT1,Ligand,Receptor,2.446
16,Neural,MSC,SEMA7A,ITGA1,Ligand,Receptor,2.565
17,MSC,MSC,EFNB1,ERBB2,Ligand,Receptor,2.462
18,Neural,MSC,LTA4H,LTBR,Ligand,Receptor,2.301
19,Megakaryocyte,Neural,PTDSS1,JMJD6,Ligand,Receptor,2.451
20,MSC,Neural,NID1,PTPRF,Ligand,Receptor,2.316
21,Fibroblast,Neural,NID1,PTPRF,Ligand,Receptor,2.318
22,MSC,Neural,GABPB1,TFR2,Ligand,Receptor,2.67
23,Megakaryocyte,Neural,GABPB1,TFR2,Ligand,Receptor,2.4930000000000003
24,Neural,Fibroblast,CD2BP2,CD58,Ligand,Receptor,2.5980000000000003
25,MSC,Fibroblast,CD2BP2,CD58,Ligand,Receptor,2.643
26,Fibroblast,MSC,BDNF,NTRK2,Ligand,Receptor,2.273
27,Megakaryocyte,MSC,BDNF,NTRK2,Ligand,Receptor,2.279
28,MSC,MSC,COL4A1,CD93,Ligand,Receptor,2.507
29,MSC,Megakaryocyte,COL4A1,CD93,Ligand,Receptor,2.511
30,MSC,Megakaryocyte,SGPP1,ITGA4,Ligand,Receptor,2.393
31,MSC,Myeloid,SGPP1,ITGA4,Ligand,Receptor,2.277
32,Megakaryocyte,MSC,ITPK1,INSR,Ligand,Receptor,2.636
33,Megakaryocyte,Fibroblast,ITPK1,INSR,Ligand,Receptor,2.593
34,Neural,Megakaryocyte,FZR1,ITGAE,Ligand,Receptor,2.559
35,Megakaryocyte,Megakaryocyte,FZR1,ITGAE,Ligand,Receptor,2.397
36,Fibroblast,Neural,ADGRE5,CD55,Ligand,Receptor,2.616
37,Myeloid,Neural,ADGRE5,CD55,Ligand,Receptor,2.614
38,Fibroblast,MSC,BDNF,SORT1,Ligand,Receptor,2.3480000000000003
39,Megakaryocyte,MSC,BDNF,SORT1,Ligand,Receptor,2.354
40,MSC,MSC,TNFRSF14,BTLA,Ligand,Receptor,2.372
41,Megakaryocyte,MSC,TNFRSF14,BTLA,Ligand,Receptor,2.438
42,Neural,MSC,DUSP18,ITGA1,Ligand,Receptor,2.403
43,MSC,MSC,DUSP18,ITGA1,Ligand,Receptor,2.506
44,Neural,Fibroblast,CXCL8,CD79A,Ligand,Receptor,2.402
45,Fibroblast,Fibroblast,CXCL8,CD79A,Ligand,Receptor,2.357
46,Neural,MSC,LTA4H,TNFRSF1A,Ligand,Receptor,2.364
47,MSC,Megakaryocyte,LTA4H,TNFRSF1A,Ligand,Receptor,2.34
48,Neural,Neural,RHAG,ICAM4,Ligand,Receptor,2.605
49,Neural,Megakaryocyte,RHAG,ICAM4,Ligand,Receptor,2.708
50,MSC,MSC,CALM2,INSR,Ligand,Receptor,2.421
51,Neural,Fibroblast,CALM2,INSR,Ligand,Receptor,2.432
52,Megakaryocyte,Neural,CALM1,FAS,Ligand,Receptor,2.342
53,Myeloid,Neural,CALM1,FAS,Ligand,Receptor,2.335
54,Fibroblast,MSC,HSP90AA1,ERBB2,Ligand,Receptor,2.476
55,Megakaryocyte,MSC,HSP90AA1,ERBB2,Ligand,Receptor,2.438
56,MSC,MSC,CTHRC1,FZD5,Ligand,Receptor,2.422
57,Fibroblast,MSC,CTHRC1,FZD5,Ligand,Receptor,2.424
58,Neural,Fibroblast,HMMR,CALM1,Ligand,Receptor,2.233
59,Neural,Megakaryocyte,HMMR,CALM1,Ligand,Receptor,2.261
60,Megakaryocyte,MSC,NUCB2,ERAP1,Ligand,Receptor,2.392
61,Megakaryocyte,Fibroblast,NUCB2,ERAP1,Ligand,Receptor,2.463
62,Neural,MSC,NAMPT,INSR,Ligand,Receptor,2.404
63,MSC,MSC,NAMPT,INSR,Ligand,Receptor,2.479
64,MSC,Fibroblast,NAMPT,INSR,Ligand,Receptor,2.437
65,Neural,MSC,COL4A1,ITGA1,Ligand,Receptor,2.36
66,MSC,MSC,COL4A1,ITGA1,Ligand,Receptor,2.567
67,Fibroblast,MSC,COL4A1,ITGA1,Ligand,Receptor,2.428
68,MSC,Neural,COL6A1,ITGA1,Ligand,Receptor,2.375
69,MSC,MSC,COL6A1,ITGA1,Ligand,Receptor,2.589
70,MSC,Myeloid,COL6A1,ITGA1,Ligand,Receptor,2.334
71,MSC,Neural,IGF2R,IGF2R,Ligand,Receptor,2.352
72,Neural,MSC,IGF2R,IGF2R,Ligand,Receptor,2.352
73,MSC,MSC,IGF2R,IGF2R,Ligand,Receptor,2.5580000000000003
74,MSC,MSC,IGF2R,INSR,Ligand,Receptor,2.562
75,MSC,Fibroblast,IGF2R,INSR,Ligand,Receptor,2.52
76,MSC,Megakaryocyte,IGF2R,INSR,Ligand,Receptor,2.439
77,Megakaryocyte,MSC,ITPK1,IDE,Ligand,Receptor,2.546
78,Megakaryocyte,Fibroblast,ITPK1,IDE,Ligand,Receptor,2.617
79,Megakaryocyte,Megakaryocyte,ITPK1,IDE,Ligand,Receptor,2.443
80,MSC,MSC,COL4A2,CD93,Ligand,Receptor,2.499
81,MSC,Megakaryocyte,COL4A2,CD93,Ligand,Receptor,2.503
82,Myeloid,Megakaryocyte,COL4A2,CD93,Ligand,Receptor,2.327
83,Neural,Fibroblast,KCNN4,CALM1,Ligand,Receptor,2.262
84,Neural,Megakaryocyte,KCNN4,CALM1,Ligand,Receptor,2.29
85,Neural,Myeloid,KCNN4,CALM1,Ligand,Receptor,2.282
86,Megakaryocyte,Neural,SEMA4D,ERBB2,Ligand,Receptor,2.519
87,Megakaryocyte,MSC,SEMA4D,ERBB2,Ligand,Receptor,2.724
88,Megakaryocyte,Megakaryocyte,SEMA4D,ERBB2,Ligand,Receptor,2.519
89,Neural,MSC,SGPP1,ITGA5,Ligand,Receptor,2.352
90,MSC,MSC,SGPP1,ITGA5,Ligand,Receptor,2.454
91,Fibroblast,MSC,SGPP1,ITGA5,Ligand,Receptor,2.352
92,Neural,Neural,PTDSS1,SCARB1,Ligand,Receptor,2.28
93,Megakaryocyte,Neural,PTDSS1,SCARB1,Ligand,Receptor,2.448
94,Megakaryocyte,MSC,PTDSS1,SCARB1,Ligand,Receptor,2.358
95,Neural,MSC,IDE,IGF2R,Ligand,Receptor,2.37
96,MSC,MSC,IDE,IGF2R,Ligand,Receptor,2.472
97,Fibroblast,MSC,IDE,IGF2R,Ligand,Receptor,2.543
98,Megakaryocyte,Neural,CCL3,IDE,Ligand,Receptor,2.445
99,Megakaryocyte,MSC,CCL3,IDE,Ligand,Receptor,2.548
100,Megakaryocyte,Fibroblast,CCL3,IDE,Ligand,Receptor,2.619
101,Fibroblast,Neural,UBA52,ERBB2,Ligand,Receptor,2.471
102,Neural,MSC,UBA52,ERBB2,Ligand,Receptor,2.52
103,Fibroblast,MSC,UBA52,ERBB2,Ligand,Receptor,2.676
104,Neural,Megakaryocyte,HLA-F,B2M,Ligand,Receptor,2.669
105,MSC,Megakaryocyte,HLA-F,B2M,Ligand,Receptor,2.784
106,Megakaryocyte,Megakaryocyte,HLA-F,B2M,Ligand,Receptor,2.8710000000000004
107,Neural,MSC,TGM2,SDC4,Ligand,Receptor,2.3040000000000003
108,MSC,MSC,TGM2,SDC4,Ligand,Receptor,2.402
109,Fibroblast,MSC,TGM2,SDC4,Ligand,Receptor,2.374
110,MSC,Neural,TIMP3,ADAM17,Ligand,Receptor,2.494
111,MSC,MSC,TIMP3,ADAM17,Ligand,Receptor,2.676
112,MSC,Fibroblast,TIMP3,ADAM17,Ligand,Receptor,2.5810000000000004
113,Neural,MSC,ADAM17,ITGA5,Ligand,Receptor,2.339
114,MSC,MSC,ADAM17,ITGA5,Ligand,Receptor,2.521
115,Fibroblast,MSC,ADAM17,ITGA5,Ligand,Receptor,2.426
116,Neural,MSC,SEMA7A,ITGB1,Ligand,Receptor,2.477
117,Neural,Megakaryocyte,SEMA7A,ITGB1,Ligand,Receptor,2.611
118,Megakaryocyte,Megakaryocyte,SEMA7A,ITGB1,Ligand,Receptor,2.454
119,MSC,Fibroblast,HRAS,INSR,Ligand,Receptor,2.363
120,Fibroblast,MSC,HRAS,INSR,Ligand,Receptor,2.525
121,Fibroblast,Fibroblast,HRAS,INSR,Ligand,Receptor,2.483
122,Neural,MSC,VEGFA,NRP1,Ligand,Receptor,2.291
123,MSC,MSC,VEGFA,NRP1,Ligand,Receptor,2.445
124,Fibroblast,MSC,VEGFA,NRP1,Ligand,Receptor,2.42
125,Neural,MSC,VEGFB,NRP1,Ligand,Receptor,2.303
126,MSC,MSC,VEGFB,NRP1,Ligand,Receptor,2.406
127,Fibroblast,MSC,VEGFB,NRP1,Ligand,Receptor,2.303
128,MSC,Neural,COL8A1,ITGA1,Ligand,Receptor,2.469
129,MSC,MSC,COL8A1,ITGA1,Ligand,Receptor,2.6830000000000003
130,MSC,Myeloid,COL8A1,ITGA1,Ligand,Receptor,2.428
131,MSC,MSC,ARFGAP1,INSR,Ligand,Receptor,2.436
132,MSC,Fibroblast,ARFGAP1,INSR,Ligand,Receptor,2.394
133,Fibroblast,Fibroblast,ARFGAP1,INSR,Ligand,Receptor,2.313
134,Neural,MSC,PDGFC,PDGFRB,Ligand,Receptor,2.362
135,MSC,MSC,PDGFC,PDGFRB,Ligand,Receptor,2.465
136,Megakaryocyte,MSC,PDGFC,PDGFRB,Ligand,Receptor,2.592
137,MSC,Neural,SCGB3A1,FGFR4,Ligand,Receptor,2.347
138,Fibroblast,Neural,SCGB3A1,FGFR4,Ligand,Receptor,2.245
139,MSC,MSC,SCGB3A1,FGFR4,Ligand,Receptor,2.302
140,Neural,MSC,VEGFA,NRP2,Ligand,Receptor,2.384
141,MSC,MSC,VEGFA,NRP2,Ligand,Receptor,2.5380000000000003
142,Fibroblast,MSC,VEGFA,NRP2,Ligand,Receptor,2.513
143,MSC,Neural,FST,BMPR2,Ligand,Receptor,2.315
144,MSC,MSC,FST,BMPR2,Ligand,Receptor,2.521
145,MSC,Fibroblast,FST,BMPR2,Ligand,Receptor,2.478
146,Neural,MSC,LTA4H,TNFRSF14,Ligand,Receptor,2.369
147,Neural,Megakaryocyte,LTA4H,TNFRSF14,Ligand,Receptor,2.435
148,MSC,Megakaryocyte,LTA4H,TNFRSF14,Ligand,Receptor,2.387
149,MSC,Neural,LPL,CD44,Ligand,Receptor,2.4730000000000003
150,MSC,Megakaryocyte,LPL,CD44,Ligand,Receptor,2.399
151,MSC,Myeloid,LPL,CD44,Ligand,Receptor,2.41
152,Neural,MSC,HLA-G,CD4,Ligand,Receptor,2.451
153,MSC,MSC,HLA-G,CD4,Ligand,Receptor,2.406
154,Myeloid,MSC,HLA-G,CD4,Ligand,Receptor,2.625
155,MSC,Megakaryocyte,TNFRSF14,CD160,Ligand,Receptor,2.437
156,Fibroblast,Megakaryocyte,TNFRSF14,CD160,Ligand,Receptor,2.386
157,Megakaryocyte,Megakaryocyte,TNFRSF14,CD160,Ligand,Receptor,2.503
158,Neural,Neural,FZR1,PTPRF,Ligand,Receptor,2.372
159,Neural,MSC,FZR1,PTPRF,Ligand,Receptor,2.347
160,Neural,Fibroblast,FZR1,PTPRF,Ligand,Receptor,2.347
161,Neural,Neural,PIP4K2A,CD4,Ligand,Receptor,2.441
162,Neural,MSC,PIP4K2A,CD4,Ligand,Receptor,2.685
163,Megakaryocyte,MSC,PIP4K2A,CD4,Ligand,Receptor,2.59
164,Neural,MSC,LTBP3,ITGB5,Ligand,Receptor,2.522
165,MSC,MSC,LTBP3,ITGB5,Ligand,Receptor,2.676
166,Fibroblast,MSC,LTBP3,ITGB5,Ligand,Receptor,2.497
167,Megakaryocyte,MSC,LTBP3,ITGB5,Ligand,Receptor,2.456
168,Neural,Megakaryocyte,GNAI2,S1PR4,Ligand,Receptor,2.501
169,MSC,Megakaryocyte,GNAI2,S1PR4,Ligand,Receptor,2.674
170,Fibroblast,Megakaryocyte,GNAI2,S1PR4,Ligand,Receptor,2.501
171,Myeloid,Megakaryocyte,GNAI2,S1PR4,Ligand,Receptor,2.749
172,MSC,Neural,FGF7,NRP1,Ligand,Receptor,2.338
173,Neural,MSC,FGF7,NRP1,Ligand,Receptor,2.2840000000000003
174,MSC,MSC,FGF7,NRP1,Ligand,Receptor,2.518
175,MSC,Megakaryocyte,FGF7,NRP1,Ligand,Receptor,2.426
176,MSC,Neural,FGF7,FGFR1,Ligand,Receptor,2.314
177,MSC,MSC,FGF7,FGFR1,Ligand,Receptor,2.546
178,Megakaryocyte,MSC,FGF7,FGFR1,Ligand,Receptor,2.289
179,MSC,Fibroblast,FGF7,FGFR1,Ligand,Receptor,2.446
180,MSC,Neural,LGALS3BP,VANGL1,Ligand,Receptor,2.523
181,MSC,MSC,LGALS3BP,VANGL1,Ligand,Receptor,2.478
182,MSC,Fibroblast,LGALS3BP,VANGL1,Ligand,Receptor,2.478
183,MSC,Megakaryocyte,LGALS3BP,VANGL1,Ligand,Receptor,2.7260000000000004
184,Megakaryocyte,Neural,CCL28,CCR10,Ligand,Receptor,2.367
185,Fibroblast,MSC,CCL28,CCR10,Ligand,Receptor,2.302
186,Megakaryocyte,MSC,CCL28,CCR10,Ligand,Receptor,2.47
187,Megakaryocyte,Megakaryocyte,CCL28,CCR10,Ligand,Receptor,2.367
188,MSC,Neural,FN1,PLAUR,Ligand,Receptor,2.337
189,MSC,MSC,FN1,PLAUR,Ligand,Receptor,2.562
190,MSC,Megakaryocyte,FN1,PLAUR,Ligand,Receptor,2.337
191,Fibroblast,MSC,FN1,PLAUR,Ligand,Receptor,2.3680000000000003
192,MSC,Neural,FBN1,ITGA5,Ligand,Receptor,2.312
193,Neural,MSC,FBN1,ITGA5,Ligand,Receptor,2.274
194,MSC,MSC,FBN1,ITGA5,Ligand,Receptor,2.509
195,Myeloid,MSC,FBN1,ITGA5,Ligand,Receptor,2.274
196,Neural,MSC,MFGE8,PDGFRB,Ligand,Receptor,2.321
197,MSC,MSC,MFGE8,PDGFRB,Ligand,Receptor,2.444
198,Fibroblast,MSC,MFGE8,PDGFRB,Ligand,Receptor,2.467
199,Megakaryocyte,MSC,MFGE8,PDGFRB,Ligand,Receptor,2.386
200,Neural,MSC,ADAM15,ITGA5,Ligand,Receptor,2.315
201,MSC,MSC,ADAM15,ITGA5,Ligand,Receptor,2.343
202,Megakaryocyte,MSC,ADAM15,ITGA5,Ligand,Receptor,2.315
203,Myeloid,MSC,ADAM15,ITGA5,Ligand,Receptor,2.506
204,Neural,MSC,ITGB3BP,ITGB5,Ligand,Receptor,2.531
205,MSC,MSC,ITGB3BP,ITGB5,Ligand,Receptor,2.589
206,Fibroblast,MSC,ITGB3BP,ITGB5,Ligand,Receptor,2.553
207,Megakaryocyte,MSC,ITGB3BP,ITGB5,Ligand,Receptor,2.654
208,MSC,Neural,CALR,HLA-F,Ligand,Receptor,2.442
209,MSC,MSC,CALR,HLA-F,Ligand,Receptor,2.5580000000000003
210,MSC,Megakaryocyte,CALR,HLA-F,Ligand,Receptor,2.645
211,Megakaryocyte,Megakaryocyte,CALR,HLA-F,Ligand,Receptor,2.46
212,Neural,Neural,PIP4K2A,NPTN,Ligand,Receptor,2.421
213,Neural,MSC,PIP4K2A,NPTN,Ligand,Receptor,2.5660000000000003
214,Neural,Megakaryocyte,PIP4K2A,NPTN,Ligand,Receptor,2.595
215,Neural,Myeloid,PIP4K2A,NPTN,Ligand,Receptor,2.661
216,Neural,MSC,ICAM4,ITGAV,Ligand,Receptor,2.718
217,MSC,MSC,ICAM4,ITGAV,Ligand,Receptor,2.655
218,Fibroblast,MSC,ICAM4,ITGAV,Ligand,Receptor,2.695
219,Megakaryocyte,MSC,ICAM4,ITGAV,Ligand,Receptor,2.822
220,Neural,Neural,B2M,TFRC,Ligand,Receptor,2.801
221,MSC,Neural,B2M,TFRC,Ligand,Receptor,2.772
222,Megakaryocyte,Neural,B2M,TFRC,Ligand,Receptor,2.998
223,Megakaryocyte,Fibroblast,B2M,TFRC,Ligand,Receptor,2.84
224,MSC,Neural,CALR,SCARF1,Ligand,Receptor,2.454
225,MSC,Fibroblast,CALR,SCARF1,Ligand,Receptor,2.627
226,Fibroblast,Fibroblast,CALR,SCARF1,Ligand,Receptor,2.552
227,Megakaryocyte,Fibroblast,CALR,SCARF1,Ligand,Receptor,2.442
228,MSC,Neural,COL6A3,ITGB1,Ligand,Receptor,2.524
229,MSC,MSC,COL6A3,ITGB1,Ligand,Receptor,2.755
230,MSC,Fibroblast,COL6A3,ITGB1,Ligand,Receptor,2.645
231,MSC,Megakaryocyte,COL6A3,ITGB1,Ligand,Receptor,2.889
232,MSC,Neural,CALR,LRP1,Ligand,Receptor,2.3680000000000003
233,MSC,MSC,CALR,LRP1,Ligand,Receptor,2.697
234,Fibroblast,MSC,CALR,LRP1,Ligand,Receptor,2.622
235,Megakaryocyte,MSC,CALR,LRP1,Ligand,Receptor,2.512
236,Neural,MSC,CALR,ITGAV,Ligand,Receptor,2.57
237,MSC,MSC,CALR,ITGAV,Ligand,Receptor,2.877
238,Fibroblast,MSC,CALR,ITGAV,Ligand,Receptor,2.802
239,Megakaryocyte,MSC,CALR,ITGAV,Ligand,Receptor,2.692
240,Neural,MSC,PLAT,LRP1,Ligand,Receptor,2.456
241,MSC,MSC,PLAT,LRP1,Ligand,Receptor,2.574
242,Fibroblast,MSC,PLAT,LRP1,Ligand,Receptor,2.693
243,Megakaryocyte,MSC,PLAT,LRP1,Ligand,Receptor,2.58
244,MSC,Neural,BTLA,CD79A,Ligand,Receptor,2.331
245,MSC,Fibroblast,BTLA,CD79A,Ligand,Receptor,2.46
246,Fibroblast,Fibroblast,BTLA,CD79A,Ligand,Receptor,2.357
247,Megakaryocyte,Fibroblast,BTLA,CD79A,Ligand,Receptor,2.357
248,Neural,Megakaryocyte,APP,CAV1,Ligand,Receptor,2.301
249,MSC,Megakaryocyte,APP,CAV1,Ligand,Receptor,2.437
250,Fibroblast,Megakaryocyte,APP,CAV1,Ligand,Receptor,2.395
251,Megakaryocyte,Megakaryocyte,APP,CAV1,Ligand,Receptor,2.4290000000000003
252,Neural,Megakaryocyte,HRAS,CAV1,Ligand,Receptor,2.36
253,MSC,Megakaryocyte,HRAS,CAV1,Ligand,Receptor,2.415
254,Fibroblast,Megakaryocyte,HRAS,CAV1,Ligand,Receptor,2.535
255,Myeloid,Megakaryocyte,HRAS,CAV1,Ligand,Receptor,2.36
256,Neural,MSC,IL16,CD4,Ligand,Receptor,2.457
257,MSC,MSC,IL16,CD4,Ligand,Receptor,2.412
258,Megakaryocyte,MSC,IL16,CD4,Ligand,Receptor,2.412
259,Myeloid,MSC,IL16,CD4,Ligand,Receptor,2.412
260,MSC,MSC,LAMB1,ITGA1,Ligand,Receptor,2.6
261,MSC,Myeloid,LAMB1,ITGA1,Ligand,Receptor,2.345
262,Fibroblast,MSC,LAMB1,ITGA1,Ligand,Receptor,2.543
263,Megakaryocyte,MSC,LAMB1,ITGA1,Ligand,Receptor,2.467
264,MSC,Neural,HSP90B1,ERBB2,Ligand,Receptor,2.315
265,MSC,MSC,HSP90B1,ERBB2,Ligand,Receptor,2.52
266,Fibroblast,MSC,HSP90B1,ERBB2,Ligand,Receptor,2.393
267,Megakaryocyte,MSC,HSP90B1,ERBB2,Ligand,Receptor,2.359
268,MSC,Neural,GNAI2,ADRA2A,Ligand,Receptor,2.289
269,MSC,Megakaryocyte,GNAI2,ADRA2A,Ligand,Receptor,2.456
270,Megakaryocyte,Megakaryocyte,GNAI2,ADRA2A,Ligand,Receptor,2.3280000000000003
271,Myeloid,Megakaryocyte,GNAI2,ADRA2A,Ligand,Receptor,2.531
272,Neural,Myeloid,PLAT,ITGB2,Ligand,Receptor,2.4090000000000003
273,MSC,MSC,PLAT,ITGB2,Ligand,Receptor,2.415
274,MSC,Myeloid,PLAT,ITGB2,Ligand,Receptor,2.526
275,Megakaryocyte,Myeloid,PLAT,ITGB2,Ligand,Receptor,2.532
276,Neural,MSC,PDAP1,PDGFRB,Ligand,Receptor,2.425
277,MSC,MSC,PDAP1,PDGFRB,Ligand,Receptor,2.354
278,Fibroblast,MSC,PDAP1,PDGFRB,Ligand,Receptor,2.351
279,Megakaryocyte,MSC,PDAP1,PDGFRB,Ligand,Receptor,2.499
280,Neural,MSC,PSAP,LRP1,Ligand,Receptor,2.48
281,MSC,MSC,PSAP,LRP1,Ligand,Receptor,2.498
282,Fibroblast,MSC,PSAP,LRP1,Ligand,Receptor,2.526
283,Megakaryocyte,MSC,PSAP,LRP1,Ligand,Receptor,2.595
284,Neural,MSC,SERPINE2,LRP1,Ligand,Receptor,2.386
285,MSC,MSC,SERPINE2,LRP1,Ligand,Receptor,2.564
286,Fibroblast,MSC,SERPINE2,LRP1,Ligand,Receptor,2.4130000000000003
287,Megakaryocyte,MSC,SERPINE2,LRP1,Ligand,Receptor,2.639
288,MSC,MSC,GZMB,IGF2R,Ligand,Receptor,2.3280000000000003
289,Fibroblast,MSC,GZMB,IGF2R,Ligand,Receptor,2.3280000000000003
290,Megakaryocyte,Neural,GZMB,IGF2R,Ligand,Receptor,2.354
291,Megakaryocyte,MSC,GZMB,IGF2R,Ligand,Receptor,2.56
292,MSC,Neural,FGF7,FGFR4,Ligand,Receptor,2.437
293,MSC,MSC,FGF7,FGFR4,Ligand,Receptor,2.392
294,MSC,Fibroblast,FGF7,FGFR4,Ligand,Receptor,2.392
295,MSC,Megakaryocyte,FGF7,FGFR4,Ligand,Receptor,2.392
296,Neural,MSC,PSEN1,NOTCH2,Ligand,Receptor,2.414
297,MSC,MSC,PSEN1,NOTCH2,Ligand,Receptor,2.482
298,Fibroblast,MSC,PSEN1,NOTCH2,Ligand,Receptor,2.379
299,Megakaryocyte,MSC,PSEN1,NOTCH2,Ligand,Receptor,2.379
300,Neural,MSC,A2M,LRP1,Ligand,Receptor,2.435
301,MSC,Neural,A2M,LRP1,Ligand,Receptor,2.346
302,MSC,MSC,A2M,LRP1,Ligand,Receptor,2.676
303,Fibroblast,MSC,A2M,LRP1,Ligand,Receptor,2.73
304,Neural,Neural,GABPB1,TFRC,Ligand,Receptor,2.467
305,MSC,Neural,GABPB1,TFRC,Ligand,Receptor,2.77
306,Megakaryocyte,Neural,GABPB1,TFRC,Ligand,Receptor,2.593
307,MSC,Fibroblast,GABPB1,TFRC,Ligand,Receptor,2.612
308,Neural,MSC,ICAM4,ITGB2,Ligand,Receptor,2.379
309,Megakaryocyte,MSC,ICAM4,ITGB2,Ligand,Receptor,2.483
310,Neural,Myeloid,ICAM4,ITGB2,Ligand,Receptor,2.491
311,Megakaryocyte,Myeloid,ICAM4,ITGB2,Ligand,Receptor,2.594
312,MSC,Neural,GRN,SORT1,Ligand,Receptor,2.35
313,MSC,MSC,GRN,SORT1,Ligand,Receptor,2.4530000000000003
314,Myeloid,MSC,GRN,SORT1,Ligand,Receptor,2.6
315,Myeloid,Megakaryocyte,GRN,SORT1,Ligand,Receptor,2.665
316,MSC,Neural,CCL2,ACKR1,Ligand,Receptor,2.592
317,MSC,MSC,CCL2,ACKR1,Ligand,Receptor,2.645
318,MSC,Fibroblast,CCL2,ACKR1,Ligand,Receptor,2.8
319,MSC,Myeloid,CCL2,ACKR1,Ligand,Receptor,2.597
320,Neural,MSC,ICAM4,ITGB1,Ligand,Receptor,2.417
321,Neural,Megakaryocyte,ICAM4,ITGB1,Ligand,Receptor,2.551
322,MSC,Megakaryocyte,ICAM4,ITGB1,Ligand,Receptor,2.488
323,Megakaryocyte,Megakaryocyte,ICAM4,ITGB1,Ligand,Receptor,2.655
324,MSC,Neural,COL5A1,ITGA1,Ligand,Receptor,2.492
325,MSC,MSC,COL5A1,ITGA1,Ligand,Receptor,2.705
326,MSC,Megakaryocyte,COL5A1,ITGA1,Ligand,Receptor,2.451
327,MSC,Myeloid,COL5A1,ITGA1,Ligand,Receptor,2.451
328,Neural,MSC,C1QB,LRP1,Ligand,Receptor,2.467
329,MSC,MSC,C1QB,LRP1,Ligand,Receptor,2.486
330,Fibroblast,MSC,C1QB,LRP1,Ligand,Receptor,2.422
331,Megakaryocyte,MSC,C1QB,LRP1,Ligand,Receptor,2.59
332,MSC,Neural,THBS2,CD47,Ligand,Receptor,2.545
333,MSC,MSC,THBS2,CD47,Ligand,Receptor,2.759
334,MSC,Fibroblast,THBS2,CD47,Ligand,Receptor,2.6180000000000003
335,MSC,Megakaryocyte,THBS2,CD47,Ligand,Receptor,2.806
336,Fibroblast,Neural,COL18A1,ITGA5,Ligand,Receptor,2.612
337,Fibroblast,MSC,COL18A1,ITGA5,Ligand,Receptor,2.809
338,Fibroblast,Fibroblast,COL18A1,ITGA5,Ligand,Receptor,2.612
339,Fibroblast,Megakaryocyte,COL18A1,ITGA5,Ligand,Receptor,2.612
340,Neural,MSC,LRPAP1,LRP1,Ligand,Receptor,2.457
341,MSC,MSC,LRPAP1,LRP1,Ligand,Receptor,2.498
342,Fibroblast,MSC,LRPAP1,LRP1,Ligand,Receptor,2.475
343,Megakaryocyte,MSC,LRPAP1,LRP1,Ligand,Receptor,2.502
344,Neural,MSC,VEGFA,ITGAV,Ligand,Receptor,2.588
345,MSC,MSC,VEGFA,ITGAV,Ligand,Receptor,2.742
346,Fibroblast,MSC,VEGFA,ITGAV,Ligand,Receptor,2.717
347,Megakaryocyte,MSC,VEGFA,ITGAV,Ligand,Receptor,2.588
348,Myeloid,MSC,VEGFA,ITGAV,Ligand,Receptor,2.588
349,Neural,MSC,JAG1,NOTCH3,Ligand,Receptor,2.732
350,MSC,MSC,JAG1,NOTCH3,Ligand,Receptor,2.732
351,Fibroblast,MSC,JAG1,NOTCH3,Ligand,Receptor,2.732
352,Megakaryocyte,MSC,JAG1,NOTCH3,Ligand,Receptor,2.732
353,Myeloid,MSC,JAG1,NOTCH3,Ligand,Receptor,2.732
354,MSC,Neural,VCAM1,ITGB2,Ligand,Receptor,2.5580000000000003
355,MSC,MSC,VCAM1,ITGB2,Ligand,Receptor,2.7430000000000003
356,MSC,Fibroblast,VCAM1,ITGB2,Ligand,Receptor,2.5580000000000003
357,MSC,Megakaryocyte,VCAM1,ITGB2,Ligand,Receptor,2.5580000000000003
358,MSC,Myeloid,VCAM1,ITGB2,Ligand,Receptor,2.854
359,MSC,MSC,VEGFA,ITGB1,Ligand,Receptor,2.441
360,Fibroblast,MSC,VEGFA,ITGB1,Ligand,Receptor,2.416
361,Neural,Megakaryocyte,VEGFA,ITGB1,Ligand,Receptor,2.421
362,MSC,Megakaryocyte,VEGFA,ITGB1,Ligand,Receptor,2.575
363,Fibroblast,Megakaryocyte,VEGFA,ITGB1,Ligand,Receptor,2.55
364,MSC,MSC,ADAM17,ITGB1,Ligand,Receptor,2.491
