"source","target","gene_A","gene_B","type_gene_A","type_gene_B","MeanLR"
"Neural","Megakaryocyte","CXCL8","ADRA2A","Ligand","Receptor",0.0285694680901772
"Neural","Megakaryocyte","MIF","CXCR4","Ligand","Receptor",0.325120816580615
"Neural","Megakaryocyte","CALR","ITGA2B","Ligand","Receptor",0.438801095715754
"Neural","Megakaryocyte","ADM","RAMP1","Ligand","Receptor",0.132171242458378
"Neural","Megakaryocyte","NMU","ADRA2A","Ligand","Receptor",0.0308646598273596
"Neural","Megakaryocyte","COPA","CD74","Ligand","Receptor",0.516603532478783
"Neural","Megakaryocyte","CLEC11A","ITGB1","Ligand","Receptor",0.345765223121383
"Neural","Megakaryocyte","IL16","CD9","Ligand","Receptor",0.734177597664409
"Neural","Megakaryocyte","ARF1","INSR","Ligand","Receptor",0.504741838419107
"Neural","Megakaryocyte","TIMP1","CD63","Ligand","Receptor",0.847051663616683
"Neural","Megakaryocyte","TGM2","ITGB1","Ligand","Receptor",0.34744649010935
"Neural","Megakaryocyte","BSG","SLC16A1","Ligand","Receptor",1.75330179424795
"Neural","Megakaryocyte","CALM1","MYLK","Ligand","Receptor",0.250036881894251
"Neural","Megakaryocyte","CALM2","MYLK","Ligand","Receptor",0.746299057465361
"Neural","Megakaryocyte","C5","ADRA2A","Ligand","Receptor",0.0545239673175454
"Neural","Megakaryocyte","CALM2","GP6","Ligand","Receptor",0.644471960042525
"Neural","Megakaryocyte","TGM2","TBXA2R","Ligand","Receptor",0.0595530972399752
"Neural","Fibroblast","ADAM10","TSPAN17","Ligand","Receptor",0.254101844441099
"Neural","Fibroblast","HLA-A","APLP2","Ligand","Receptor",1.41238278130049
"Neural","Fibroblast","APP","CD74","Ligand","Receptor",0.517558564332214
"Neural","Fibroblast","APP","RPSA","Ligand","Receptor",0.705402726438991
"Neural","Fibroblast","CD55","ADGRE5","Ligand","Receptor",0.348193458220003
"Neural","Fibroblast","CXCL8","CD79A","Ligand","Receptor",0.0766937041641092
"Neural","Fibroblast","MIF","CXCR4","Ligand","Receptor",0.311740214289699
"Neural","Fibroblast","COPA","CD74","Ligand","Receptor",0.51577927810409
"Neural","Fibroblast","ARF1","INSR","Ligand","Receptor",0.533497505669845
"Neural","Fibroblast","C1QB","C1QBP","Ligand","Receptor",0.247069149016929
"Neural","Fibroblast","CALM2","INSR","Ligand","Receptor",0.606197052824195
"Neural","Fibroblast","CALM2","GP6","Ligand","Receptor",0.570109864611559
"Neural","Fibroblast","CALM2","AQP1","Ligand","Receptor",0.598648670824564
"Neural","Fibroblast","LGALS3","ENG","Ligand","Receptor",0.566507537737738
