"","source","target","gene_A","gene_B","MeanLR","type_gene_A","type_gene_B"
"73","MSC","Megakaryocyte","COL6A3","GP6",0.433681280959765,"Ligand","Receptor"
"74","MSC","Megakaryocyte","HSPG2","ITGB1",0.526569798066364,"Ligand","Receptor"
"75","MSC","Megakaryocyte","LGALS1","ITGB1",0.997888916441922,"Ligand","Receptor"
"76","MSC","Megakaryocyte","CCL2","ACKR1",0.316785938296157,"Ligand","Receptor"
"77","MSC","Megakaryocyte","VCAN","ITGB1",1.05832396341575,"Ligand","Receptor"
"78","MSC","Megakaryocyte","MIF","CD74_CXCR4",0.489279262644583,"Ligand","Receptor"
"79","MSC","Megakaryocyte","HGF","ITGB1",0.587289676893817,"Ligand","Receptor"
"80","MSC","Megakaryocyte","CALR","ITGA2B",0.720509950755573,"Ligand","Receptor"
"81","MSC","Megakaryocyte","GRN","TNFRSF1A",0.262916296821012,"Ligand","Receptor"
"82","MSC","Megakaryocyte","SERPINF1","PLXDC2",0.504807905885061,"Ligand","Receptor"
"83","MSC","Megakaryocyte","CXCL12","ITGB1",1.39864071209022,"Ligand","Receptor"
"84","MSC","Megakaryocyte","CXCL12","CXCR4",1.18180136159912,"Ligand","Receptor"
"85","MSC","Megakaryocyte","LUM","ITGB1",0.820328307934693,"Ligand","Receptor"
"86","MSC","Megakaryocyte","LGALS3BP","ITGB1",0.574577278349574,"Ligand","Receptor"
"87","MSC","Megakaryocyte","CLEC11A","ITGB1",0.49776879427989,"Ligand","Receptor"
"88","MSC","Megakaryocyte","LGALS1","CD69",0.867657236170591,"Ligand","Receptor"
"89","MSC","Megakaryocyte","TIMP1","CD63",1.41853936410214,"Ligand","Receptor"
"90","MSC","Megakaryocyte","TIMP2","ITGB1",0.439247080848613,"Ligand","Receptor"
"91","MSC","Megakaryocyte","GNAI2","F2R",0.235003615493092,"Ligand","Receptor"
"92","MSC","Megakaryocyte","GNAI2","CAV1",0.264028488869264,"Ligand","Receptor"
"93","MSC","Megakaryocyte","HLA-B","CANX",1.50634355240691,"Ligand","Receptor"
"94","MSC","Megakaryocyte","SLPI","PLSCR1",0.396293342236011,"Ligand","Receptor"
"95","MSC","Megakaryocyte","HMGB1","CXCR4",0.859563407378544,"Ligand","Receptor"
"96","MSC","Megakaryocyte","GNAI2","S1PR4",0.241922692023323,"Ligand","Receptor"
"97","MSC","Megakaryocyte","MDK","NCL",0.673899509195351,"Ligand","Receptor"
"98","MSC","Megakaryocyte","SPARC","ENG",0.513438167899286,"Ligand","Receptor"
"99","MSC","Fibroblast","APP","CD74",0.625602139109874,"Ligand","Receptor"
"100","MSC","Fibroblast","APP","RPSA",0.81344630121665,"Ligand","Receptor"
"101","MSC","Fibroblast","THBS1","CD36",0.411942628432578,"Ligand","Receptor"
"102","MSC","Fibroblast","THBS1","CD47",0.341526824153345,"Ligand","Receptor"
"103","MSC","Fibroblast","COL1A1","CD36",0.782187923206875,"Ligand","Receptor"
"104","MSC","Fibroblast","COL1A2","CD36",0.804647754219892,"Ligand","Receptor"
"105","MSC","Fibroblast","HSPG2","ITGB1",0.320229211795686,"Ligand","Receptor"
"106","MSC","Fibroblast","TF","TFRC",0.432045318288432,"Ligand","Receptor"
